time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
230100,2025-07-25 04:05:28,-6.88077492544035,107.454981889767,0,Available with any HD 360 subscription,Available with any HD 360 subscription,2120.6263221251,0.656168,0,0,0,32,5,0,2120.6263221251,0,0,0,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,6,P-GPS,"Dalam penerbangan... Pesawat dalam Zona Ketinggian (500 m). Terbangkan pesawat dengan hati-hati (Code: 190001). Pesawat tidak sedang terbang. Sistem penglihatan dan penghindaran penghalang dinonaktifkan (Code: 180059)"
230200,2025-07-25 04:05:28,-6.88077492739768,107.454981889706,0,,,2120.6263221251,0.656168,0,0.0007144685268,0.0007144685268,32,5,0,2120.6263221251,0,0,0.0007144685268,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230300,2025-07-25 04:05:28,-6.88077492819204,107.454981891225,0,,,2120.6263221251,0.328084,0,0.0011343996426,0.00133618442596,32,5,0,2120.6263221251,0,0,0.0011343996426,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230400,2025-07-25 04:05:28,-6.8807750274454,107.454981890023,0,,,2120.6263221251,0.328084,0,0.037216536624,0.037551182304,32,5,0,2120.6263221251,0,0,0.037216536624,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230500,2025-07-25 04:05:28,-6.88077502763941,107.454981891853,0,,,2120.6263221251,0.328084,0,0.0372949487,0.038217520908,32,5,0,2120.6263221251,0,0,0.0372949487,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230600,2025-07-25 04:05:29,-6.88077502727514,107.454981891969,0,,,2120.6263221251,0.328084,0,0.037163058932,0.038356956608,32,5,0,2120.6263221251,0,0,0.0372949487,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 58. Setting new Maximum Flight Altitude to 120m (394 ft)"
230700,2025-07-25 04:05:29,-6.88077502724065,107.454981895979,0,,,2120.6263221251,0.328084,0,5.5371064764,0.03980971256,32,5,0,2120.6263221251,0,0,5.5371064764,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230800,2025-07-25 04:05:29,-6.88077502660691,107.454981788756,0,,,2120.6263221251,0.328084,0,5.5007875776,0.078648624564,32,5,0,2120.6263221251,0,0,5.5371064764,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.3,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
230900,2025-07-25 04:05:29,-6.88077502588693,107.454981787419,0,,,2120.6263221251,0.328084,0,5.5004266852,0.0791994776,32,5,0,2120.6263221251,0,0,5.5371064764,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.4,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
231000,2025-07-25 04:05:29,-6.88077502733228,107.45498178532,0,,,2120.6263221251,0.328084,0,5.49950805,0.08012467448,32,5,0,2120.6263221251,0,0,5.5371064764,0,0,0,246.7, 5.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,231.4,0,0,84,4.021,4.017,0,0,0,0,0,115.16,2120.6263221251,0,41,Motors_Started,
